Description,Intent
how can i check,Access
how to select,Access
how to use,Access
not able to access,Access
how to use,Access
how do i check,Access
how do i check,Access
I am blocked,Access
not able to select,Access
i could not find,Access
i need access to,Access
not able to check,Access
how to select,Access
how do i check,Access
how can i check,Access
not able to select,Access
I am restricted,Access
how to register,Access
how to select,Access
i need access to,Access
how to get that info,Access
not able to access,Access
not able to select,Access
not able to check,Access
how to use,Access
i need access to,Access
i could not find,Access
how can i check,Access
i could not find,Access
I am not able to,Access
not able to check,Access
how to access,Access
how can i get access to?,Access
I am not able to access,Access
I am not able to log into my account,Access
I don't have the access to,Access
I can't get that info,Access
I cannot retrieve that information,Access
How do I get access to it?,Access
Access denied,Access
Why I don't have the access to view,Access
Why am i not able to access,Access
Access is not granted ,Access
I am not authorised,Access
I cannot sign in,Access
not able to access,Access
total balance in my account,accountbalance
what is my card balance,accountbalance
money in my bank account,accountbalance
current account status,accountbalance
list my account bal,accountbalance
list down my accounts,accountbalance
net balance in my account,accountbalance
account balance,accountbalance
show all the accounts,accountbalance
balance in my account,accountbalance
account bal,accountbalance
account balance,accountbalance
want to check my acct bal,accountbalance
account balance,accountbalance
total balance,accountbalance
whats the balance on my account,accountbalance
show all the accounts,accountbalance
balance in my account,accountbalance
what is the balance left in my account,accountbalance
what is my account balance,accountbalance
credit card balance,accountbalance
list down my accounts,accountbalance
list down my accounts,accountbalance
want to check my acct bal,accountbalance
what is the current status of my account,accountbalance
my account's balance,accountbalance
can you add account for money transfer,Addbeneficiary
could you add account for money transfer,Addbeneficiary
could you add this account for money transfer,Addbeneficiary
can you add this account for money transfer,Addbeneficiary
add this account for transferring the money,Addbeneficiary
how can i add beneficiary,Addbeneficiary
i have added a beneficiary,Addbeneficiary
add this account for money transfer,Addbeneficiary
add account for transferring money,Addbeneficiary
add these accounts for transferring money,Addbeneficiary
add him as beneficiary,Addbeneficiary
add her as beneficiary,Addbeneficiary
how can i add beneficiary,Addbeneficiary
add this as beneficiary,Addbeneficiary
how to add beneficiary,Addbeneficiary
how to add a beneficiary,Addbeneficiary
I added a beneficiary,Addbeneficiary
add a beneficiary,Addbeneficiary
add an account for transferring money,Addbeneficiary
beneficiary,Addbeneficiary
add a beneficiary,Addbeneficiary
add an account for transferring money,Addbeneficiary
add beneficiary,Addbeneficiary
add as beneficiary,Addbeneficiary
add an account for transferring money,Addbeneficiary
Hold old do my kids have to be to use the service?,age_limit
Can I start an account for my kids?,age_limit
What does my daughter need to open an account?,age_limit
Is there a minimum age for having an account?,age_limit
I have kids and I'm curious at what age could they start to use your service.,age_limit
My daughter needs an acount.,age_limit
What is the age limit for an account?,age_limit
What is the process for setting up and account for my child?,age_limit
Is there a certain age I need to be?,age_limit
What is the age requirement?,age_limit
Would I be able to open an account for my daughter?,age_limit
Would it be possible to open up an account for children?,age_limit
